,AvaTax System Tax Code,AvaTax System Tax Code Description,Additional AvaTax System Tax Code Information,list_tax_code_des,list_tax_code_info,UNSPSC_corresponding_code
323,PC030157,Clothing & related products (b2b) - safety apparel not suitable for everyday wear,,"['apparel', 'suitabl', 'safeti', 'bb', 'wear', 'relat', 'everyday', 'cloth', 'product']",[],
324,PC030158,Clothing & related products (b2b) - protective footwear,,"['protect', 'bb', 'footwear', 'relat', 'cloth', 'product']",[],
325,PC030500,Clothing and related products (business-to-business)-childrens only,,"['children', 'relat', 'busin', 'cloth', 'product']",[],
326,PC031146,Costumes (includes capes and robes / dress up / toy cowboy hats / santa and witches hats w/o hair),,"['cape', 'dre', 'santa', 'hat', 'witch', 'costum', 'cowboy', 'toy', 'includ', 'hair', 'robe', 'w']",[],
327,PC039328,Costumes - masks only,,"['mask', 'costum']",[],
328,PC030200,Clothing and related products (business-to-business)-accessories or equipment,,"['accessori', 'equip', 'relat', 'busin', 'cloth', 'product']",[],44102906.0
329,PC030201,Clothing and related products (business-to-business)-briefcases,,"['briefcas', 'relat', 'busin', 'cloth', 'product']",[],
330,PC030202,Clothing and related products (business-to-business)-cosmetics,,"['relat', 'cosmet', 'busin', 'cloth', 'product']",[],
331,PC030203,"Hair notions, including, but not limited to barrettes, hair clothing and related products (business-to-business)-bows, and hair nets",,"['notion', 'bow', 'net', 'barrett', 'includ', 'limit', 'relat', 'hair', 'busin', 'cloth', 'product']",[],
332,PC030204,Clothing and related products (business-to-business)-handbags,,"['handbag', 'relat', 'busin', 'cloth', 'product']",[],
333,PC030205,Clothing and related products (business-to-business)-handkerchiefs,,"['handkerchief', 'relat', 'busin', 'cloth', 'product']",[],
334,PC030206,Clothing and related products (business-to-business)-jewelry,,"['jewelri', 'relat', 'busin', 'cloth', 'product']",[],
335,PC030207,"Clothing and related products (business-to-business)-sunglasses, non-prescription",,"['prescript', 'sunglass', 'relat', 'non', 'busin', 'cloth', 'product']",[],
336,PC030208,Clothing and related products (business-to-business)-umbrellas,,"['umbrella', 'relat', 'busin', 'cloth', 'product']",[],
337,PC030209,Clothing and related products (business-to-business)-wallets,,"['wallet', 'relat', 'busin', 'cloth', 'product']",[],
338,PC030210,Clothing and related products (business-to-business)-watches,,"['watch', 'relat', 'busin', 'cloth', 'product']",[],
339,PC031138,Belt buckles and belt tips without the belt,,"['tip', 'buckl', 'belt', 'without']",[],
340,PC031226,Hair bows - fabric,,"['fabric', 'bow', 'hair']",[],23121608.0
341,PC031234,Hair net / slumber caps,,"['cap', 'net', 'hair', 'slumber']",[],
342,PC031242,Shower caps,,"['shower', 'cap']",[],
343,PC030300,Clothing and related products (business-to-business)-protective equipment,,"['protect', 'equip', 'relat', 'busin', 'cloth', 'product']",[],48101924.0
344,PC030301,Clothing and related products (business-to-business)-breathing masks,,"['breath', 'mask', 'relat', 'busin', 'cloth', 'product']",[],
345,PC030302,Clothing and related products (business-to-business)-clean room apparel and equipment,,"['apparel', 'clean', 'equip', 'relat', 'room', 'busin', 'cloth', 'product']",[],48101817.0
346,PC030303,Clothing and related products (business-to-business)-ear and hearing protectors,,"['ear', 'hear', 'protector', 'relat', 'busin', 'cloth', 'product']",[],
347,PC030304,Clothing and related products (business-to-business)-face shields,,"['face', 'shield', 'relat', 'busin', 'cloth', 'product']",[],
348,PC030305,Clothing and related products (business-to-business)-hard hats,,"['hard', 'relat', 'hat', 'busin', 'cloth', 'product']",[],
349,PC030306,Clothing and related products (business-to-business)-helmets (athletic),,"['athlet', 'relat', 'helmet', 'busin', 'cloth', 'product']",[],
350,PC030307,Clothing and related products (business-to-business)-helmets (bicycle),,"['relat', 'bicycl', 'helmet', 'busin', 'cloth', 'product']",[],
351,PC030308,Clothing and related products (business-to-business)-helmets (motorcycle),,"['motorcycl', 'relat', 'helmet', 'busin', 'cloth', 'product']",[],
352,PC030309,Clothing and related products (business-to-business)helmets (other),,"['businesshelmet', 'relat', 'busin', 'cloth', 'product']",[],
353,PC030310,Clothing and related products (business-to-business)-helmets (snowmobile),,"['relat', 'snowmobil', 'helmet', 'busin', 'cloth', 'product']",[],
354,PC030311,Clothing and related products (business-to-business)-paint or dust respirators,,"['respir', 'paint', 'dust', 'relat', 'busin', 'cloth', 'product']",[],
355,PC030312,Clothing & related products (b2b) - protective gloves not suitable for everyday wear,,"['suitabl', 'glove', 'protect', 'bb', 'wear', 'relat', 'everyday', 'cloth', 'product']",[],
356,PC030313,Clothing and related products (business-to-business)-safety glasses and goggles,,"['safeti', 'glass', 'goggl', 'relat', 'busin', 'cloth', 'product']",[],
357,PC030314,Clothing and related products (business-to-business)-safety belts,,"['belt', 'safeti', 'relat', 'busin', 'cloth', 'product']",[],
358,PC030315,Clothing and related products (business-to-business)-tool belts,,"['belt', 'busin', 'relat', 'tool', 'cloth', 'product']",[],42142907.0
359,PC030316,Clothing and related products (business-to-business)welders gloves and masks,,"['businessweld', 'glove', 'mask', 'relat', 'busin', 'cloth', 'product']",[],
360,PC030400,Clothing and related products (business-to-business)-sports/recreational equipment,,"['recreat', 'busin', 'equip', 'relat', 'sport', 'cloth', 'product']",[],49221503.0
361,PC030401,Clothing and related products (business-to-business)-ballet and tap shoes,,"['tap', 'ballet', 'shoe', 'relat', 'busin', 'cloth', 'product']",[],
362,PC030402,Clothing and related products (business-to-business)-cleated or spiked athletic shoes,,"['spike', 'shoe', 'cleat', 'relat', 'athlet', 'busin', 'cloth', 'product']",[],
363,PC030403,"Clothing and related products (business-to-business)-gloves including baseball, bowling, boxing, hockey, golf",,"['box', 'includ', 'glove', 'basebal', 'hockey', 'bowl', 'relat', 'golf', 'busin', 'cloth', 'product']",[],
364,PC030404,Clothing and related products (business-to-business)-goggles,,"['goggl', 'relat', 'busin', 'cloth', 'product']",[],
365,PC030405,Clothing and related products (business-to-business)-gym suits,,"['suit', 'gym', 'relat', 'busin', 'cloth', 'product']",[],
366,PC030406,Clothing and related products (business-to-business)-hand and elbow guards,,"['hand', 'guard', 'relat', 'elbow', 'busin', 'cloth', 'product']",[],27111515.0
367,PC030407,"Clothing and related products (business-to-business)-jogging outfits, sweat suits",,"['suit', 'jog', 'relat', 'sweat', 'busin', 'cloth', 'product', 'outfit']",[],
368,PC030408,Clothing and related products (business-to-business)-life preservers and vest,,"['vest', 'life', 'preserv', 'relat', 'busin', 'cloth', 'product']",[],50131629.0
369,PC030409,Clothing and related products (business-to-business)-mouth guards,,"['guard', 'mouth', 'relat', 'busin', 'cloth', 'product']",[],
370,PC030410,Clothing and related products (business-to-business)-roller and ice skates,,"['ice', 'relat', 'roller', 'skate', 'busin', 'cloth', 'product']",[],
371,PC030411,Clothing and related products (business-to-business)-shin guards,,"['guard', 'busin', 'relat', 'shin', 'cloth', 'product']",[],
372,PC030412,Clothing and related products (business-to-business)-shoulder pads,,"['pad', 'shoulder', 'relat', 'busin', 'cloth', 'product']",[],
373,PC030413,Clothing and related products (business-to-business)-ski boots,,"['ski', 'boot', 'relat', 'busin', 'cloth', 'product']",[],
374,PC030414,"Clothing and related products (business-to-business)-uniform, athletic",,"['uniform', 'relat', 'athlet', 'busin', 'cloth', 'product']",[],
375,PC030415,Clothing and related products (business-to-business)-waders,,"['wader', 'relat', 'busin', 'cloth', 'product']",[],
376,PC031034,Athletic supporters with a cup,,"['cup', 'support', 'athlet']",[],25111711.0
377,PC031042,Bowling shoes,,"['shoe', 'bowl']",[],
378,PC031050,Sweatbands,,['sweatband'],[],
379,PC030600,Clothing and related products (business-to-business)-other,"The ""other"" clothing code is typically used to identify a type of clothing item that is worn or used for a specific purposes only that is not specifically identified in other clothes sub-categories.","['relat', 'busin', 'cloth', 'product']","['item', 'worn', 'typic', 'specif', 'identifi', 'identifi', 'categori', 'specif', 'use', 'type', 'purpos', 'cloth', 'cloth', 'code', 'sub']",
380,PC030601,Clothing and related products (business-to-business)-fur,,"['fur', 'relat', 'busin', 'cloth', 'product']",[],
381,PC030602,Clothing and related products (business-to-business)-gloves for non-general use,Gloves for non-general use are usually gloves that are not worn as clothes or recognized as a clothes item but are use for some other purpose.,"['gener', 'glove', 'use', 'relat', 'non', 'busin', 'cloth', 'product']","['worn', 'recogn', 'item', 'gener', 'glove', 'use', 'purpos', 'non', 'cloth', 'usual']",27111612.0
382,PC030605,Clothing and related products (business-to-business)-wetsuits,,"['relat', 'wetsuit', 'busin', 'cloth', 'product']",[],
383,PC030606,Clothing and related products (business-to-business)-swim fins,,"['fin', 'swim', 'relat', 'busin', 'cloth', 'product']",[],
384,PC040000,Clothing and related products (business-to-customer),"Business-to-customer sale of clothes and other related items. these items include general clothing items, specialty clothes items, accessory items, protective items and sports and safety items and equipment.","['custom', 'relat', 'busin', 'cloth', 'product']","['sale', 'item', 'accessori', 'safeti', 'custom', 'gener', 'cloth', 'specialti', 'sport', 'protect', 'includ', 'equip', 'relat', 'busin', 'cloth']",
385,PC040100,Clothing and related products (business-to-customer)-general,"General clothing items are those that are normally acceptable for day-to-day use, even though they may in fact be designed for a specific use. examples might include such items as work jeans and sweat suits.","['custom', 'gener', 'relat', 'busin', 'cloth', 'product']","['may', 'day', 'accept', 'normal', 'might', 'gener', 'exampl', 'sweat', 'though', 'item', 'work', 'design', 'includ', 'use', 'suit', 'fact', 'specif', 'cloth', 'even', 'jean']",27113201.0
386,PC040101,Clothing and related products (business-to-customer)-aprons - household ,,"['custom', 'apron', 'relat', 'household', 'busin', 'cloth', 'product']",[],
387,PC040103,Clothing and related products (business-to-customer)-athletic supporters,,"['custom', 'support', 'relat', 'athlet', 'busin', 'cloth', 'product']",[],
388,PC040105,Clothing and related products (business-to-customer)-bandanas,,"['bandana', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
389,PC040106,Clothing and related products (business-to-customer)-bathing suits and caps,,"['suit', 'cap', 'custom', 'relat', 'bath', 'busin', 'cloth', 'product']",[],
390,PC040108,Clothing and related products (business-to-customer)-belts and suspenders,,"['belt', 'custom', 'suspend', 'relat', 'busin', 'cloth', 'product']",[],
391,PC040109,Clothing and related products (business-to-customer)-bibs,,"['custom', 'relat', 'bib', 'busin', 'cloth', 'product']",[],
392,PC040110,Clothing and related products (business-to-customer)-boots,,"['custom', 'boot', 'relat', 'busin', 'cloth', 'product']",[],
393,PC040111,Clothing and related products (business-to-customer)-coats and jackets,,"['coat', 'custom', 'jacket', 'relat', 'busin', 'cloth', 'product']",[],
394,PC040113,Clothing and related products (business-to-customer)-coveralls,Generally a one-piece garment worn over other clothing for protection or for the purpose of protecting the inter-clothing from damage.,"['custom', 'relat', 'coveral', 'busin', 'cloth', 'product']","['piec', 'worn', 'inter', 'one', 'protect', 'damag', 'gener', 'purpos', 'protect', 'cloth', 'garment']",
395,PC040115,Clothing and related products (business-to-customer)-dress shields,,"['custom', 'dre', 'shield', 'relat', 'busin', 'cloth', 'product']",[],
396,PC040116,Clothing and related products (business-to-customer)-ear muffs,,"['muff', 'custom', 'ear', 'relat', 'busin', 'cloth', 'product']",[],
397,PC040117,Clothing and related products (business-to-customer)-foot lets,,"['custom', 'foot', 'let', 'relat', 'busin', 'cloth', 'product']",[],
398,PC040118,Clothing and related products (business-to-customer)-formal wear,,"['custom', 'wear', 'formal', 'relat', 'busin', 'cloth', 'product']",[],
399,PC040119,Clothing and related products (business-to-customer)-galoshes,,"['custom', 'galosh', 'relat', 'busin', 'cloth', 'product']",[],
400,PC040120,Clothing and related products (business-to-customer)-garters and garter belts,,"['belt', 'custom', 'garter', 'relat', 'busin', 'cloth', 'product']",[],
401,PC040121,Clothing and related products (business-to-customer)-girdles,,"['custom', 'girdl', 'relat', 'busin', 'cloth', 'product']",[],
402,PC040122,Clothing and related products (business-to-customer)-gloves for general use - cloth,,"['custom', 'gener', 'glove', 'use', 'relat', 'cloth', 'busin', 'cloth', 'product']",[],27113201.0
403,PC040123,Clothing and related products (business-to-customer)-gloves for general use - leather,,"['custom', 'gener', 'glove', 'use', 'relat', 'leather', 'busin', 'cloth', 'product']",[],27113201.0
404,PC040124,Clothing and related products (business-to-customer)-gloves for general use - kid,Gloves made of kidskin/kid leather.,"['kid', 'custom', 'gener', 'glove', 'use', 'relat', 'busin', 'cloth', 'product']","['kid', 'kidskin', 'glove', 'made', 'leather']",27113201.0
405,PC040125,Clothing and related products (business-to-customer)-gloves for general use - sheepskin,,"['sheepskin', 'custom', 'gener', 'glove', 'use', 'relat', 'busin', 'cloth', 'product']",[],27113201.0
406,PC040126,Clothing and related products (business-to-customer)-gloves for general use - fur,,"['fur', 'custom', 'gener', 'glove', 'use', 'relat', 'busin', 'cloth', 'product']",[],27113201.0
407,PC040127,Clothing and related products (business-to-customer)-gloves for general use - rubber,,"['custom', 'gener', 'glove', 'use', 'relat', 'busin', 'cloth', 'product', 'rubber']",[],27111617.0
408,PC040128,Clothing and related products (business-to-customer)-golf clothing,,"['custom', 'relat', 'golf', 'busin', 'cloth', 'product']",[],
409,PC040129,Clothing and related products (business-to-customer)-hats and caps,,"['cap', 'custom', 'relat', 'hat', 'busin', 'cloth', 'product']",[],
410,PC040130,Clothing and related products (business-to-customer)-hosiery,,"['custom', 'hosieri', 'relat', 'busin', 'cloth', 'product']",[],
411,PC040131,Clothing and related products (business-to-customer)-insoles for shoes,,"['custom', 'shoe', 'relat', 'insol', 'busin', 'cloth', 'product']",[],
412,PC040133,Clothing and related products (business-to-customer)-leather wearing apparel,,"['apparel', 'custom', 'wear', 'relat', 'leather', 'busin', 'cloth', 'product']",[],23121604.0
413,PC040134,Clothing and related products (business-to-customer)-neckties,,"['custom', 'relat', 'neckti', 'busin', 'cloth', 'product']",[],
414,PC040135,Clothing and related products (business-to-customer)-nightgowns,,"['custom', 'nightgown', 'relat', 'busin', 'cloth', 'product']",[],
415,PC040137,Clothing and related products (business-to-customer)-pantyhose,,"['custom', 'pantyhos', 'relat', 'busin', 'cloth', 'product']",[],
416,PC040138,Clothing and related products (business-to-customer)-ponchos,,"['custom', 'poncho', 'relat', 'busin', 'cloth', 'product']",[],
417,PC040139,Clothing and related products (business-to-customer)-prom dresses (not rented),,"['custom', 'prom', 'rent', 'relat', 'dress', 'busin', 'cloth', 'product']",[],
418,PC040140,Clothing and related products (business-to-customer)-rainwear,,"['custom', 'rainwear', 'relat', 'busin', 'cloth', 'product']",[],
419,PC040142,Clothing and related products (business-to-customer)-sandals,,"['custom', 'relat', 'sandal', 'busin', 'cloth', 'product']",[],
420,PC040143,Clothing and related products (business-to-customer)-scarves,,"['custom', 'scarf', 'relat', 'busin', 'cloth', 'product']",[],
421,PC040144,Clothing and related products (business-to-customer)-shoes and shoe laces,,"['custom', 'lace', 'shoe', 'relat', 'busin', 'cloth', 'product']",[],
422,PC040145,Clothing and related products (business-to-customer)-shoes inserts,,"['custom', 'insert', 'shoe', 'relat', 'busin', 'cloth', 'product']",[],
423,PC040146,Clothing and related products (business-to-customer)-slippers,,"['slipper', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
424,PC040147,Clothing and related products (business-to-customer)-sneakers,,"['custom', 'relat', 'busin', 'cloth', 'product', 'sneaker']",[],
425,PC040148,Clothing and related products (business-to-customer)-socks and stockings,,"['custom', 'relat', 'sock', 'stock', 'busin', 'cloth', 'product']",[],
426,PC040150,Clothing and related products (business-to-customer)-suspenders,,"['custom', 'suspend', 'relat', 'busin', 'cloth', 'product']",[],
427,PC040151,Clothing and related products (business-to-customer)-tuxedos (not rentals),,"['custom', 'tuxedo', 'relat', 'rental', 'busin', 'cloth', 'product']",[],
428,PC040152,Clothing and related products (business-to-customer)-underwear,,"['custom', 'underwear', 'relat', 'busin', 'cloth', 'product']",[],
429,PC040153,"Clothing and related products (business-to-customer)-uniform, non-athletic",,"['custom', 'uniform', 'athlet', 'relat', 'non', 'busin', 'cloth', 'product']",[],
430,PC040155,Clothing and related products (business-to-customer)-wedding apparel (not rented),,"['apparel', 'custom', 'rent', 'relat', 'wed', 'busin', 'cloth', 'product']",[],
431,PC040156,Clothing and related products (business-to-customer)-work clothes (other),,"['custom', 'cloth', 'work', 'relat', 'busin', 'cloth', 'product']",[],11161703.0
432,PC040168,Clothing and related products (business-to-customer) - aqua shoes,,"['aqua', 'custom', 'shoe', 'relat', 'busin', 'cloth', 'product']",[],
433,PC041098,Nursing bras,,"['bra', 'nurs']",[],
434,PC041114,Receiving blankets,,"['receiv', 'blanket']",[],
435,PC041210,Gloves:  work / chore / garden / jersey,,"['jersey', 'work', 'glove', 'chore', 'garden']",[],
436,PC040132,Clothing & related products (business-to-consumer) - gloves: cosmetic gloves,,"['glove', 'relat', 'consum', 'cosmet', 'busin', 'cloth', 'product']",[],48102107.0
437,PC040157,Clothing & related products (b2c) - safety apparel not suitable for everyday wear,,"['apparel', 'suitabl', 'bc', 'safeti', 'wear', 'relat', 'everyday', 'cloth', 'product']",[],
438,PC040158,Clothing & related products (b2c) - protective footwear,,"['bc', 'protect', 'footwear', 'relat', 'cloth', 'product']",[],
439,PC040200,Clothing and related products (business-to-customer)-accessories or equipment,,"['accessori', 'custom', 'equip', 'relat', 'busin', 'cloth', 'product']",[],44102906.0
440,PC040201,Clothing and related products (business-to-customer)-briefcases,,"['custom', 'briefcas', 'relat', 'busin', 'cloth', 'product']",[],
441,PC040202,Clothing and related products (business-to-customer)-cosmetics,,"['custom', 'relat', 'cosmet', 'busin', 'cloth', 'product']",[],
442,PC040203,"Hair notions, including, but not limited to barrettes, hair bows, and clothing and related products (business-to-customer)-hair nets",,"['notion', 'bow', 'custom', 'barrett', 'net', 'includ', 'limit', 'relat', 'hair', 'busin', 'cloth', 'product']",[],
443,PC040204,Clothing and related products (business-to-customer)-handbags,,"['handbag', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
444,PC040205,Clothing and related products (business-to-customer)-handkerchiefs,,"['custom', 'handkerchief', 'relat', 'busin', 'cloth', 'product']",[],
445,PC040206,Clothing and related products (business-to-customer)-jewelry,,"['jewelri', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
446,PC040207,"Clothing and related products (business-to-customer)-sunglasses, non-prescription",,"['prescript', 'sunglass', 'custom', 'relat', 'non', 'busin', 'cloth', 'product']",[],
447,PC040208,Clothing and related products (business-to-customer)-umbrellas,,"['custom', 'umbrella', 'relat', 'busin', 'cloth', 'product']",[],
448,PC040209,Clothing and related products (business-to-customer)-wallets,,"['wallet', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
449,PC040210,Clothing and related products (business-to-customer)-watches,,"['custom', 'watch', 'relat', 'busin', 'cloth', 'product']",[],
450,PC041138,Belt buckles and belt tips without the belt,,"['tip', 'buckl', 'belt', 'without']",[],
451,PC041226,Hair bows - fabric,,"['fabric', 'bow', 'hair']",[],23121608.0
452,PC041234,Hair net / slumber caps,,"['cap', 'net', 'hair', 'slumber']",[],
453,PC041242,Shower caps,,"['shower', 'cap']",[],
454,PC040300,Clothing and related products (business-to-customer)-protective equipment,,"['custom', 'protect', 'equip', 'relat', 'busin', 'cloth', 'product']",[],48101924.0
455,PC040301,Clothing and related products (business-to-customer)-breathing masks,,"['custom', 'breath', 'mask', 'relat', 'busin', 'cloth', 'product']",[],
456,PC040302,Clothing and related products (business-to-customer)-clean room apparel and equipment,,"['apparel', 'custom', 'clean', 'equip', 'relat', 'room', 'busin', 'cloth', 'product']",[],48101817.0
457,PC040303,Clothing and related products (business-to-customer)-ear and hearing protectors,,"['custom', 'ear', 'hear', 'protector', 'relat', 'busin', 'cloth', 'product']",[],
458,PC040304,Clothing and related products (business-to-customer)-face shields,,"['face', 'custom', 'shield', 'relat', 'busin', 'cloth', 'product']",[],
459,PC040305,Clothing and related products (business-to-customer)-hard hats,,"['custom', 'hard', 'relat', 'hat', 'busin', 'cloth', 'product']",[],
460,PC040306,Clothing and related products (business-to-customer)-helmets (athletic),,"['custom', 'athlet', 'relat', 'helmet', 'busin', 'cloth', 'product']",[],
461,PC040307,Clothing and related products (business-to-customer)-helmets (bicycle),,"['custom', 'relat', 'bicycl', 'helmet', 'busin', 'cloth', 'product']",[],
462,PC040308,Clothing and related products (business-to-customer)-helmets (motorcycle),,"['custom', 'motorcycl', 'relat', 'helmet', 'busin', 'cloth', 'product']",[],
463,PC040309,Clothing and related products (business-to-customer)-helmets (other),,"['custom', 'relat', 'helmet', 'busin', 'cloth', 'product']",[],
464,PC040310,Clothing and related products (business-to-customer)-helmets (snowmobile),,"['custom', 'relat', 'snowmobil', 'helmet', 'busin', 'cloth', 'product']",[],
465,PC040311,Clothing and related products (business-to-customer)-paint or dust respirators,,"['custom', 'respir', 'paint', 'dust', 'relat', 'busin', 'cloth', 'product']",[],
466,PC040312,Clothing & related products (b2c) - protective gloves not suitable for everyday wear,,"['suitabl', 'bc', 'glove', 'protect', 'wear', 'relat', 'everyday', 'cloth', 'product']",[],
467,PC040313,Clothing and related products (business-to-customer)-safety glasses and goggles,,"['safeti', 'custom', 'glass', 'goggl', 'relat', 'busin', 'cloth', 'product']",[],
468,PC040314,Clothing and related products (business-to-customer)-safety belts,,"['belt', 'safeti', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
469,PC040315,Clothing and related products (business-to-customer)-tool belts,,"['belt', 'tool', 'custom', 'relat', 'busin', 'cloth', 'product']",[],42142907.0
470,PC040316,Clothing and related products (business-to-customer)-welders gloves and masks,,"['welder', 'custom', 'glove', 'mask', 'relat', 'busin', 'cloth', 'product']",[],
471,PC040400,Clothing and related products (business-to-customer)-sports/recreational equipment,,"['recreat', 'custom', 'sport', 'equip', 'relat', 'busin', 'cloth', 'product']",[],49221503.0
472,PC040065,Clothing & related products - mouth guard - customized,Custom-made mouth guard for the use of a particular individual.,"['guard', 'mouth', 'custom', 'relat', 'cloth', 'product']","['guard', 'mouth', 'particular', 'custom', 'made', 'use', 'individu']",
473,PC040401,Clothing and related products (business-to-customer)-ballet and tap shoes,,"['custom', 'tap', 'ballet', 'shoe', 'relat', 'busin', 'cloth', 'product']",[],
474,PC040402,Clothing and related products (business-to-customer)-cleated or spiked athletic shoes,,"['spike', 'custom', 'shoe', 'relat', 'cleat', 'athlet', 'busin', 'cloth', 'product']",[],
475,PC040403,"Clothing and related products (business-to-customer)-gloves including baseball, bowling, boxing, hockey, golf",,"['custom', 'box', 'includ', 'glove', 'basebal', 'hockey', 'bowl', 'relat', 'golf', 'busin', 'cloth', 'product']",[],
476,PC040404,Clothing and related products (business-to-customer)-goggles,,"['custom', 'goggl', 'relat', 'busin', 'cloth', 'product']",[],
477,PC040405,Clothing and related products (business-to-customer)-gym suits,,"['suit', 'custom', 'gym', 'relat', 'busin', 'cloth', 'product']",[],
478,PC040406,Clothing and related products (business-to-customer)-hand and elbow guards,,"['hand', 'custom', 'guard', 'relat', 'elbow', 'busin', 'cloth', 'product']",[],27111515.0
479,PC040407,"Clothing and related products (business-to-customer)-jogging outfits, sweat suits",,"['suit', 'custom', 'jog', 'relat', 'sweat', 'busin', 'cloth', 'product', 'outfit']",[],
480,PC040408,Clothing and related products (business-to-customer)-life preservers and vest,,"['vest', 'custom', 'life', 'preserv', 'relat', 'busin', 'cloth', 'product']",[],50131629.0
481,PC040409,Clothing and related products (business-to-customer)-mouth guards,,"['custom', 'guard', 'mouth', 'relat', 'busin', 'cloth', 'product']",[],
482,PC040410,Clothing and related products (business-to-customer)-roller and ice skates,,"['ice', 'custom', 'relat', 'roller', 'skate', 'busin', 'cloth', 'product']",[],
483,PC040411,Clothing and related products (business-to-customer)-shin guards,,"['custom', 'shin', 'guard', 'relat', 'busin', 'cloth', 'product']",[],
484,PC040412,Clothing and related products (business-to-customer)-shoulder pads,,"['pad', 'custom', 'shoulder', 'relat', 'busin', 'cloth', 'product']",[],
485,PC040413,Clothing and related products (business-to-customer)-ski boots,,"['ski', 'custom', 'boot', 'relat', 'busin', 'cloth', 'product']",[],
486,PC040414,"Clothing and related products (business-to-customer)-uniform, athletic",,"['custom', 'uniform', 'relat', 'athlet', 'busin', 'cloth', 'product']",[],
487,PC040415,Clothing and related products (business-to-customer)-waders,,"['custom', 'wader', 'relat', 'busin', 'cloth', 'product']",[],
488,PC041034,Athletic supporters with a cup,,"['cup', 'support', 'athlet']",[],25111711.0
489,PC041042,Bowling shoes,,"['shoe', 'bowl']",[],
490,PC041050,Sweatbands,,['sweatband'],[],
491,PC040500,Clothing and related products (business-to-customer)-childrens only,,"['custom', 'children', 'relat', 'busin', 'cloth', 'product']",[],
492,PC040501,Clothing and related products (business-to-customer) - children's clothing (below age 11),"Children's clothing labeled, marked, or marketed for children below 11 years of age and the measured clothing size fits up to and including chest size 32"" and waist size 26"".","['custom', 'children', 'age', 'relat', 'busin', 'cloth', 'product']","['size', 'market', 'children', 'year', 'age', 'measur', 'includ', 'waist', 'fit', 'label', 'child', 'mark', 'cloth', 'chest']",
493,PC040502,Clothing and related products (business-to-customer) - children's clothing (ages 11 - 14),Children's clothing for children ages 11 - 14,"['custom', 'children', 'age', 'relat', 'busin', 'cloth', 'product']","['age', 'child', 'cloth', 'children']",
494,PC040503,Clothing and related products (business-to-customer) - children's footwear (below age 11),Children's footwear that is both designed specifically for the use of children and of a size no larger than the average size applicable to children under 11 years of age.,"['custom', 'children', 'age', 'footwear', 'relat', 'busin', 'cloth', 'product']","['size', 'children', 'year', 'applic', 'footwear', 'design', 'child', 'use', 'larger', 'averag', 'specif', 'age']",
495,PC040600,Clothing and related products (business-to-customer)-other,"The ""other"" clothing code is typically used to identify a type of clothing item that is worn or used for specific purposes not specifically identified in other clothes sub-categories.","['custom', 'relat', 'busin', 'cloth', 'product']","['item', 'worn', 'typic', 'specif', 'identifi', 'identifi', 'categori', 'specif', 'use', 'type', 'purpos', 'cloth', 'cloth', 'code', 'sub']",
496,PC040601,Clothing and related products (business-to-customer)-fur,,"['fur', 'custom', 'relat', 'busin', 'cloth', 'product']",[],
497,PC040602,Clothing and related products (business-to-customer)-gloves for non-general use,Gloves for non-general use are usually gloves that are not worn as clothes or recognized as a clothes item but are used for some other purpose.,"['custom', 'gener', 'glove', 'use', 'relat', 'non', 'busin', 'cloth', 'product']","['worn', 'recogn', 'item', 'gener', 'glove', 'use', 'use', 'purpos', 'non', 'cloth', 'usual']",27111612.0
498,PC040605,Clothing and related products (business-to-customer)-wetsuits,,"['custom', 'relat', 'wetsuit', 'busin', 'cloth', 'product']",[],
499,PC040606,Clothing and related products (business-to-consumer)-swim fins,,"['fin', 'swim', 'relat', 'consum', 'busin', 'cloth', 'product']",[],
500,PC041146,Costumes (includes capes and robes / dress up / toy cowboy hats / santa and witches hats w/o hair),,"['cape', 'dre', 'santa', 'hat', 'witch', 'costum', 'cowboy', 'toy', 'includ', 'hair', 'robe', 'w']",[],
501,PC049328,Costumes - masks only,,"['mask', 'costum']",[],
502,PC060000,Computer cleaning equipment,,"['clean', 'comput', 'equip']",[],47121609.0
503,PC070000,Computer hardware (business-to-business),,"['hardwar', 'comput', 'busin']",[],
504,PC070100,"Computer packages (cpu, monitor, mouse, keyboard and speakers)",,"['monitor', 'cpu', 'keyboard', 'comput', 'mous', 'speaker', 'packag']",[],43211733.0
505,PC070110,"Laptop computers, notebook computers, tablet computers, netbook computers, notepads, mini notebooks, lapdocks, and devices commonly called ultra mobile pcs (umpc) that utilize touch-sensitive screens, and that can operate the same, sold to business",,"['oper', 'mobil', 'lapdock', 'util', 'comput', 'commonli', 'devic', 'tablet', 'netbook', 'mini', 'laptop', 'call', 'screen', 'notepad', 'sold', 'touch', 'sensit', 'notebook', 'ultra', 'umpc', 'busin', 'pc']",[],44102906.0
506,PC070200,Computer hardware (business-to-business) cpu ,,"['hardwar', 'comput', 'cpu', 'busin']",[],
507,PC070300,Computer hardware (business-to-business) monitor,,"['hardwar', 'comput', 'busin', 'monitor']",[],
508,PC070400,Computer hardware (business-to-business) peripheral,,"['hardwar', 'peripher', 'comput', 'busin']",[],43211724.0
